Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Study_Hours_per_Week,Stress_Level (1-10),Sleep_Hours_per_Night,Priority_Level,Priority_Encoded,Performance_Inconsistency,Study_Efficiency,Workload_Balance,Risk_Score,Engagement_Score,Gender_Encoded,Dept_CS,Dept_Engineering,Dept_Mathematics,Extracurricular_Encoded,Grade_Numeric
22,97.36,40.61,59.61,73.69,53.17,73.4,62.84,59.8865,10.3,1,5.9,High,2,12.226339599405867,5.299690265486725,1.4927536231884058,1,0.8070400000000001,0,False,False,True,1,0
18,97.71,57.27,74.0,74.23,98.23,88.0,98.23,81.917,27.1,4,4.3,Low,0,17.676561317179313,2.9151957295373663,5.113207547169812,1,0.85405,1,False,False,False,0,3
24,99.52,41.84,63.85,85.85,50.429899999999996,4.699999999999999,91.22,67.717,12.4,9,6.1,Medium,1,21.55685460362898,5.053507462686567,1.7464788732394367,2,0.65606,1,False,True,False,1,1
24,90.38,45.65,44.44,68.1,66.27,4.2,55.48,55.48283,25.5,8,4.9,Medium,1,11.100773396480083,2.0936916981132074,4.322033898305085,2,0.55614,0,False,True,False,0,0
23,59.41,53.13,61.77,67.66,83.98,64.3,87.43,71.403,13.3,6,4.5,Medium,1,14.610771026882876,4.993216783216783,2.4181818181818184,1,0.64177,0,True,False,False,1,2
21,60.6,70.21,64.48,87.85,52.26,54.8,67.65,68.09,25.3,6,5.6,Medium,1,12.825429817358946,2.5889733840304183,3.8333333333333335,1,0.6976,1,False,False,True,1,1
24,67.01,90.85,93.74,89.0,54.17,15.5,87.51,82.8575,22.1,2,4.0,Medium,1,16.313066235383218,3.5869047619047616,4.42,2,0.6035300000000001,1,False,False,False,1,3
19,65.91,91.72,59.47,50.72,53.83,54.8,90.04,71.36850000000001,16.7,5,7.8,Medium,1,20.0864787854915,4.032118644067798,1.8977272727272725,2,0.56501,1,False,True,False,1,2
21,97.83,76.97,62.75,57.19,79.08,97.4,57.57,65.8605,18.1,9,4.8,Medium,1,10.584612416144486,3.4481937172774866,3.120689655172414,1,0.81445,0,True,False,False,0,1
22,89.45,95.69,86.97,60.65,94.8,63.1,83.09,82.75550000000001,9.4,8,7.1,Low,0,14.211611449796958,7.957259615384617,1.1604938271604939,2,0.70025,0,False,False,False,1,3
23,86.2,70.0,85.54,67.58,77.77,44.900000000000006,93.14,79.98599999999999,7.9,4,8.2,Low,0,10.670664459160921,8.987191011235954,0.8586956521739132,1,0.66362,0,False,False,False,1,2
20,59.3,93.34,87.9,64.57,80.18,82.8,66.17,77.6705,22.9,7,8.6,Medium,1,12.820478540210583,3.249811715481172,2.3854166666666665,1,0.68458,0,False,False,True,1,2
21,95.48,67.24,97.23,83.43,67.3,21.3,54.02,70.909,26.2,9,6.8,Medium,1,16.71992912664405,2.606948529411765,3.358974358974359,2,0.6840600000000001,1,False,True,False,0,2
18,91.39,56.63,87.73,91.41,50.94,41.4,51.36,66.7105,23.0,5,7.9,Low,0,20.209936417515024,2.7796041666666667,2.5842696629213484,1,0.76401,1,False,False,False,0,1
19,58.18,94.98,64.46,59.6,51.08,52.8,55.5,63.7,27.8,2,6.3,High,2,17.408270448266823,2.211805555555556,3.808219178082192,2,0.57134,1,True,False,False,0,1
18,93.56,63.28,89.29,78.15,94.42,50.5,50.5199,70.56700000000001,27.3,2,6.5,Low,0,18.21956093329365,2.493533568904594,3.64,1,0.74478,1,True,False,False,1,2
21,63.61,70.2,70.52,68.39,55.13,92.1,66.35,68.44149999999999,24.5,8,6.7,High,2,6.363809393751512,2.6839803921568626,3.1818181818181817,2,0.74069,0,False,False,False,0,1
23,54.04,59.73,56.66,75.29,99.4901,29.3,64.97,65.373,27.5,8,7.4,High,2,17.312129652414228,2.293789473684211,3.2738095238095237,3,0.55118,0,True,False,False,0,1
20,82.84,79.77,58.18,81.04,58.22,5.699999999999999,55.52,61.4295,9.2,8,7.3,Medium,1,12.706643144434333,6.0225,1.1084337349397588,2,0.58978,1,False,False,False,1,1
20,82.69,99.6001,53.43,94.68,83.73,91.6,82.56,80.2355,23.3,5,7.9,Low,0,17.93667444098822,3.301872427983539,2.6179775280898876,1,0.90159,1,True,False,False,0,3
18,54.75,41.53,48.7,59.61,97.45,21.7,99.48010000000001,68.05599999999998,23.8,2,7.1,Medium,1,27.35267512149406,2.744193548387096,2.9382716049382718,2,0.46778999999999993,1,False,False,False,0,1
22,65.94,93.99,51.07,54.35,68.11,37.9,95.05,72.2395,8.8,10,8.4,High,2,21.084716739856855,7.371377551020409,0.9361702127659575,4,0.5289200000000001,1,False,False,False,0,2
22,99.5201,40.609899999999996,43.79,81.36,86.72,53.1,62.64,59.3065,27.7,8,7.5,Medium,1,21.036845074820512,2.0664285714285713,3.2588235294117647,3,0.7833003000000001,1,False,False,False,0,0
23,83.92,61.85,93.31,69.71,67.54,97.6,88.5,81.2455,5.299,4,8.6,Low,0,13.848092648448016,12.898158437847277,0.5519791666666667,1,0.8233999999999999,0,True,False,False,1,3
20,86.5,50.12,95.86,58.15,65.25,53.5,96.84,78.4575,15.9,9,7.8,Low,0,21.764115649389478,4.642455621301775,1.8068181818181817,2,0.6526000000000001,0,False,False,False,0,2
18,60.65,85.44,75.21,55.85,60.09,44.8,95.32,76.841,5.5,10,7.7,Medium,1,16.651284334849365,11.821692307692306,0.632183908045977,4,0.5397500000000001,1,False,False,True,0,2
18,53.94,43.04,90.43,77.95,91.05,58.4,94.23,81.05000000000001,18.1,6,8.3,Medium,1,21.221724717845156,4.243455497382199,1.946236559139785,2,0.6488200000000001,1,False,False,False,0,3
18,63.85,73.21,51.01,65.02,62.87,97.1,89.32,71.42499999999998,15.3,10,7.3,High,2,14.187449735593777,4.381901840490796,1.8433734939759034,2,0.7429300000000001,1,False,True,False,0,2
21,62.44,57.7,94.1,99.54010000000001,64.16,81.8,64.65,77.0615,20.6,7,4.9,Medium,1,19.2719997795247,3.5676620370370364,3.4915254237288136,2,0.8308804000000001,0,False,True,False,1,2
23,61.73,48.02,70.38,70.3,99.4901,16.9,54.18,62.43699999999999,24.2,3,4.4,High,2,19.947745005438584,2.47765873015873,4.481481481481481,2,0.51709,0,False,False,True,1,1
22,59.64,86.31,44.03,60.61,66.37,80.3,74.39,66.0145,24.2,2,5.6,Medium,1,15.765256737522545,2.619623015873016,3.666666666666667,2,0.66226,0,False,False,False,1,1
22,78.74,53.05,48.48,81.44,71.14,84.1,52.74,59.4345,23.1,2,8.1,Medium,1,14.213630781753126,2.466161825726141,2.5384615384615388,1,0.81428,1,False,True,False,1,0
21,66.41,53.42,58.54,62.21,99.4901,69.1,99.48010000000001,75.3605,7.5,3,4.1,Medium,1,22.90502468243595,8.865941176470589,1.4705882352941178,3,0.65537,0,False,False,False,1,2
19,91.02,56.5,42.61,74.7,68.47,65.7,67.92,60.840500000000006,15.4,7,4.8,Medium,1,12.69262975115874,3.7097865853658543,2.6551724137931036,0,0.76896,1,False,True,False,0,1
21,59.2,75.21,58.56,74.13,68.31,44.1,97.92,75.453,25.4,8,4.5,Medium,1,14.500049310260982,2.858068181818182,4.618181818181818,2,0.60642,0,True,False,False,0,2
23,73.23,79.58,43.6,72.68,91.39,64.2,88.66,72.686,21.4,4,4.2,Medium,1,19.15320390952908,3.244910714285715,4.115384615384615,2,0.7030100000000001,0,True,False,False,0,2
18,50.68,41.06,54.16,89.8,65.6,73.8,70.56,64.58699999999999,22.0,3,8.1,High,2,18.262148833037145,2.8081304347826084,2.417582417582418,2,0.73264,0,False,False,True,1,1
21,74.08,54.51,55.94,60.83,61.69,12.3,55.92,55.48283,10.7,7,5.4,High,2,3.24533049164488,4.742122222222222,1.6718749999999998,2,0.5024599999999999,1,False,False,True,1,0
18,52.79,65.86,99.3501,95.22,71.16,25.7,61.86,76.036,13.1,3,7.6,Medium,1,17.353957272103674,5.392624113475177,1.5232558139534884,2,0.61635,1,False,False,False,1,2
23,98.89,59.92,54.13,89.57,85.03,19.4,83.65,70.524,28.9,8,4.7,Medium,1,16.195783401861114,2.3586622073578596,5.070175438596491,2,0.71315,0,False,False,True,0,2
24,89.53,93.05,54.35,66.66,52.16,84.1,91.5,74.41499999999999,26.2,4,6.0,Low,0,19.722934112347485,2.735845588235294,3.742857142857143,1,0.78753,1,False,False,False,1,2
23,74.51,87.26,81.21,59.03,68.7,68.0,98.97,82.207,9.1,8,4.6,Medium,1,15.626881646700982,8.139306930693069,1.625,4,0.6636500000000001,1,True,False,False,1,3
20,54.33,77.55,91.56,63.98,67.31,45.1,56.61,70.08850000000001,18.6,2,4.0,Medium,1,13.553382234704369,3.575943877551021,3.72,1,0.55421,1,True,False,False,0,2
18,79.62,60.28,63.22,66.63,62.24,82.6,57.8,62.5355,17.3,8,7.1,High,2,3.3005878264333455,3.41724043715847,2.1358024691358026,1,0.75318,1,False,True,False,1,1
22,87.94,82.04,92.54,77.85,82.71,71.7,52.12,74.6105,16.1,8,6.4,Medium,1,15.151012177409141,4.363187134502923,2.175675675675676,2,0.79032,1,False,False,False,0,2
21,59.54,90.62,60.41,52.32,64.5,91.4,63.02,66.46950000000001,16.8,10,6.1,High,2,14.452628826618364,3.7342415730337084,2.366197183098592,2,0.6621,1,True,False,False,1,1
24,78.41,75.69,51.82,95.72,80.34,7.7,91.05,74.4005,21.1,3,4.4,Medium,1,17.148149462842923,3.366538461538461,3.9074074074074074,1,0.6412100000000001,1,True,False,False,1,2
23,90.71,87.07,59.78,54.93,75.22,50.9,59.91,64.285,29.2,2,6.9,Medium,1,13.39519578057745,2.12864238410596,3.6962025316455693,0,0.64455,0,False,False,False,0,1
18,88.41,84.95,76.56,63.96,60.86,70.7,77.39,74.3145,26.9,7,7.9,Low,0,10.043925029588783,2.6636021505376344,3.022471910112359,0,0.73317,1,False,True,False,0,2
24,90.15,74.3,62.03,55.46,63.33,20.7,72.32,64.03549999999998,26.9,9,4.3,Medium,1,7.770184682489854,2.2951792114695335,5.0754716981132075,1,0.55439,1,False,True,False,0,1
19,93.97,58.73,80.37,62.83,58.53,32.7,66.29,65.70150000000001,22.6,10,6.1,Medium,1,8.988481518031845,2.78396186440678,3.183098591549296,1,0.63133,0,False,True,False,1,1
20,96.88,84.75,54.22,91.88,52.83,41.900000000000006,80.92,71.70349999999999,5.4,1,5.6,Low,0,18.14337757971211,11.203671874999998,0.8181818181818182,2,0.78386,0,False,True,False,0,2
19,70.28,52.41,82.06,80.76,80.96,79.4,75.12,75.0925,16.0,5,8.5,Low,0,12.511415587374598,4.417205882352941,1.6842105263157894,1,0.7720800000000001,0,True,False,False,1,2
23,78.44,86.77,60.85,61.37,83.64,49.400000000000006,66.74,68.2895,17.8,3,5.3,Medium,1,12.435333931985905,3.6324202127659575,2.8253968253968256,0,0.629,0,False,False,False,0,1
19,89.53,88.27,67.35,93.59,58.3,49.3,84.44,77.74349999999998,26.1,9,8.7,Low,0,14.92268910082898,2.8687638376383755,2.6907216494845363,1,0.79085,1,False,False,False,1,2
19,84.86,89.33,73.46,90.04,80.77,43.1,64.0,74.7025,28.1,8,8.1,Medium,1,11.023418253881147,2.5670962199312712,3.087912087912088,1,0.74404,0,True,False,False,0,2
20,99.5201,68.37,81.17,87.68,99.1,22.9,82.16,79.403,16.3,9,4.5,Low,0,11.144300336943543,4.589768786127168,2.963636363636364,1,0.7179803,0,True,False,False,0,2
20,50.68,51.55,54.32,92.38,53.72,92.3,97.86,74.5145,12.5,9,6.4,High,2,23.066975961317514,5.519592592592592,1.689189189189189,3,0.79846,1,True,False,False,1,2
20,67.76,45.98,90.16,80.98,74.52,31.8,86.45,76.56099999999999,13.4,10,7.2,Medium,1,17.586711460645507,5.31673611111111,1.6341463414634148,3,0.6226,1,False,False,True,0,2
24,64.05,84.6,83.31,75.07,86.65,56.7,70.92,77.554,19.5,3,7.0,Medium,1,6.764417935048072,3.7831219512195124,2.4375,1,0.66253,1,False,False,False,0,2
20,63.12,93.18,54.05,68.7,52.3,14.9,87.38,69.98349999999999,11.9,7,7.4,Medium,1,18.72474886346944,5.425077519379844,1.4166666666666667,2,0.5088600000000001,0,False,False,False,1,1
19,61.13,79.05,98.5,61.19,88.91,43.4,90.46,83.86,27.8,5,6.1,Medium,1,14.3193390210582,2.9118055555555555,3.915492957746479,1,0.55835,1,False,False,False,1,3
22,85.46,48.65,79.89,77.87,98.98,90.4,66.29,73.25550000000001,15.5,6,8.5,Low,0,18.541652569283034,4.439727272727273,1.631578947368421,1,0.8390599999999999,0,False,True,False,1,2
22,54.24,96.09,67.15,94.47,54.42,99.20100000000002,85.26,81.3665,29.8,8,5.4,Medium,1,18.12479710231262,2.6417694805194807,4.65625,3,0.838203,1,True,False,False,1,3
20,87.08,99.35,49.45,79.7,91.11,36.2,71.72,71.65700000000001,7.7,10,4.5,Medium,1,19.266367846586963,8.236436781609198,1.4000000000000001,3,0.68864,1,True,False,False,0,2
24,84.67,66.0,71.99,95.98,68.93,15.4,90.93,77.2365,9.7,8,8.9,Low,0,13.69230185177058,7.21836448598131,0.9797979797979797,2,0.6841300000000001,0,True,False,False,0,2
21,62.54,75.69,49.89,67.85,57.21,31.4,64.77,60.7255,17.8,7,7.3,High,2,9.9127957711233,3.2300797872340423,2.144578313253012,1,0.55322,1,False,False,True,1,1
18,62.64,86.63,65.77,84.76,74.66,32.7,96.89,80.31899999999999,26.7,1,7.3,Medium,1,11.913461713540697,2.8996028880866422,3.2168674698795177,1,0.62506,1,False,False,False,1,3
23,81.44,84.18,64.52,82.43,53.58,64.5,78.74,73.3265,13.8,1,8.1,Low,0,13.185514779484345,4.954493243243243,1.5164835164835166,0,0.76754,1,True,False,False,1,2
24,88.11,98.07,83.2,83.52,76.11,49.6,67.67,78.43050000000001,25.9,6,6.1,Low,0,11.198519098523693,2.9156319702602236,3.647887323943662,0,0.7472099999999999,1,False,False,True,0,2
21,93.82,46.89,51.54,82.25,50.97,76.8,70.97,62.484,15.6,9,5.9,Medium,1,15.321676801185959,3.7640963855421683,2.260869565217391,2,0.8408599999999999,1,True,False,False,0,1
23,92.61,74.84,89.31,61.08,86.43,70.1,67.39,75.0805,26.3,8,8.7,Low,0,12.081438242196171,2.750201465201465,2.711340206185567,1,0.73245,0,False,True,False,1,2
21,98.24,81.52,59.57,57.18,74.4,25.1,57.31,61.58550000000001,11.9,1,5.9,Medium,1,11.248152292710122,4.774069767441861,1.7246376811594202,0,0.5987399999999999,0,False,False,False,0,1
21,79.07,93.41,66.64,98.93,72.95,78.4,53.42,72.75200000000001,16.8,8,4.4,Medium,1,18.907253898966925,4.087191011235955,3.111111111111111,2,0.8681300000000001,1,False,False,True,1,2
22,95.43,92.45,86.34,52.26,59.81,84.7,66.09,73.3345,12.0,5,5.5,Low,0,17.28561106816881,5.641115384615385,1.8461538461538463,1,0.7494299999999999,0,True,False,False,0,2
18,90.43,98.68,77.52,73.39,68.06,59.8,72.93,76.8655,10.4,2,8.4,Low,0,11.97482901756848,6.742587719298245,1.1063829787234043,0,0.7442500000000001,0,False,False,False,0,2
21,94.73,70.72,58.48,71.25,59.09,92.8,68.09,66.8915,15.5,7,4.5,Low,0,6.2726413893988875,4.054030303030302,2.8181818181818183,0,0.84759,0,False,False,True,0,1
20,50.609899999999996,89.85,63.17,68.0,86.77,78.3,50.7,67.27199999999999,13.4,2,7.6,Medium,1,16.46191270782347,4.671666666666666,1.558139534883721,2,0.6587297,1,False,False,False,1,1
