Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Stress_Level (1-10),Sleep_Hours_per_Night,Extracurricular,Avg_Exam_Score,Exam_Improvement,Study_Sleep_Ratio,Low_Score_Count,Overall_Avg_Score,Score_Variability,Attendance_Efficiency,Priority
99.34,93.22,48.72,62.23,72.76,7.800000000000001,80.0,9.5,10,4.5,0,70.97,-44.5,2.065217391304348,1,60.78833333333333,30.06562317110136,61.1922018656466,2
84.23,91.78,65.31,87.65,92.06,18.8,58.99,8.8,6,4.1,0,78.545,-26.47,2.095238095238096,0,69.09833333333334,28.39828404440428,82.035300170169,1
78.43,54.62,43.38,70.59,80.46,88.4,68.31,19.1,10,5.3,1,49.0,-11.239999999999997,3.5370370370370376,1,67.62666666666668,16.50786681151343,86.22550894640656,2
99.91,72.2,97.51,55.86,61.04,32.9,67.96,17.8,8,7.1,1,84.855,25.31,2.4722222222222228,0,64.57833333333333,21.19465066158597,64.63650618890334,1
98.33,67.96,83.65,61.95,50.07,7.9,54.84,13.7,4,5.1,1,75.805,15.690000000000012,2.634615384615385,0,54.395,25.60324569268514,55.3188243669277,2
50.61,56.98,80.74,61.22,80.4,69.7,65.9,27.8,3,7.1,0,68.86,23.76,3.861111111111112,0,69.15666666666668,9.825977135464273,136.64624909438191,2
83.43,79.84,92.81,95.69,71.3,44.1,56.94,15.5,6,5.5,0,86.325,12.97,2.7678571428571432,0,73.44666666666667,20.24294609652129,88.03388069838986,1
68.65,41.89,42.24,59.43,95.59,42.0,73.92,24.3,4,4.2,0,42.065,0.3500000000000014,5.651162790697675,2,59.178333333333335,22.01852984798637,86.2029618839524,2
57.24,55.12,70.66,99.43,92.47,21.200000000000003,89.7,18.1,10,5.3,0,62.89,15.54,3.3518518518518525,0,71.42999999999999,29.49622484318968,124.79035639412996,1
98.21,43.99,48.2,67.48,75.32,80.0,50.0,18.7,8,4.7,0,46.095,4.210000000000001,3.8958333333333335,2,60.83166666666667,15.375713858766575,61.940399823507455,2
88.28,43.86,93.36,78.35,71.23,41.3,79.34,27.5,1,8.7,0,68.61,49.5,3.1250000000000004,1,67.90666666666668,20.903865352289912,76.92191511856217,1
79.28,60.75,64.36,86.8,87.12,3.9,77.0,23.3,4,5.3,0,62.555,3.61,4.314814814814816,0,63.32166666666666,31.1233535575244,79.87092162798518,1
53.89,52.11,51.7,67.07,77.57,43.2,71.01,16.1,8,8.1,0,51.905,-0.4099999999999966,1.9634146341463417,0,60.44333333333333,13.357490283233096,112.1605740087833,2
61.08,64.51,44.83,68.23,79.87,28.0,96.21,17.7,8,6.8,0,54.67,-19.680000000000007,2.565217391304348,1,63.60833333333333,24.37237158478154,104.13938004802444,2
