t,state,Focused,Fatigue,Anxiety,Boredom,p_sleepy
14.58,Focused,0.6115,0.1659,0.0982,0.1244,0.3541
14.81,Focused,0.5038,0.3659,0.0621,0.0682,0.3654
15.10,Focused,0.5144,0.2806,0.0909,0.1142,0.3371
15.30,Focused,0.5362,0.2570,0.0829,0.1239,0.2654
15.49,Focused,0.5097,0.2221,0.0885,0.1797,0.2790
15.69,Focused,0.5579,0.2383,0.0578,0.1460,0.3820
15.89,Focused,0.4420,0.3847,0.0473,0.1261,0.2866
16.09,Focused,0.4788,0.3773,0.0472,0.0968,0.2445
16.28,Focused,0.4485,0.3684,0.0550,0.1282,0.1980
16.47,Focused,0.5125,0.2358,0.0644,0.1873,0.2800
16.68,Focused,0.4156,0.3514,0.0568,0.1762,0.2535
16.87,Fatigue,0.3072,0.4986,0.0495,0.1448,0.2801
17.06,Fatigue,0.3318,0.5398,0.0419,0.0865,0.2570
17.27,Fatigue,0.3679,0.5008,0.0502,0.0811,0.2610
17.46,Fatigue,0.4429,0.4496,0.0484,0.0592,0.2417
17.66,Fatigue,0.4023,0.4904,0.0486,0.0587,0.1845
17.86,Focused,0.4788,0.3752,0.0492,0.0969,0.2031
18.06,Focused,0.4508,0.3741,0.0495,0.1256,0.2821
18.25,Fatigue,0.4102,0.4235,0.0452,0.1212,0.2499
18.45,Focused,0.4448,0.3862,0.0766,0.0924,0.2777
18.65,Focused,0.4798,0.3670,0.0757,0.0775,0.2407
18.84,Focused,0.4704,0.3955,0.0722,0.0618,0.2537
19.03,Focused,0.4457,0.4237,0.0543,0.0763,0.3011
19.24,Focused,0.4715,0.3977,0.0527,0.0781,0.2618
19.43,Focused,0.5181,0.2735,0.0745,0.1339,0.3042
19.63,Focused,0.5343,0.2919,0.0537,0.1200,0.2978
19.83,Focused,0.5074,0.3093,0.0652,0.1181,0.2123
20.02,Focused,0.5754,0.2864,0.0545,0.0837,0.3131
20.22,Focused,0.6353,0.2270,0.0580,0.0797,0.2534
20.62,Focused,0.6600,0.1075,0.0759,0.1567,0.1987
21.03,Focused,0.6791,0.0910,0.0671,0.1628,0.2693
21.30,Focused,0.6893,0.0896,0.0677,0.1534,0.2912
21.50,Focused,0.7043,0.0951,0.0650,0.1356,0.2834
21.70,Focused,0.7031,0.1115,0.0603,0.1251,0.2771
21.90,Focused,0.7020,0.1276,0.0591,0.1113,0.2968
22.09,Focused,0.6803,0.1259,0.0619,0.1319,0.3084
22.30,Focused,0.6773,0.1116,0.0671,0.1440,0.3328
22.49,Focused,0.6885,0.1034,0.0643,0.1439,0.2616
23.67,Focused,0.6132,0.1806,0.0596,0.1466,0.2373
23.87,Focused,0.6215,0.1860,0.0587,0.1338,0.2856
24.06,Focused,0.6386,0.1794,0.0580,0.1240,0.2745
24.27,Focused,0.5389,0.3197,0.0461,0.0952,0.2585
24.46,Focused,0.5397,0.3306,0.0400,0.0897,0.2382
24.65,Focused,0.4878,0.3708,0.0440,0.0973,0.2271
24.84,Focused,0.4954,0.3666,0.0501,0.0879,0.2074
25.05,Focused,0.4544,0.4317,0.0453,0.0685,0.2162
25.24,Focused,0.4587,0.4305,0.0497,0.0610,0.1832
25.43,Focused,0.4863,0.3711,0.0483,0.0943,0.2316
25.64,Fatigue,0.3435,0.5164,0.0450,0.0951,0.2744
25.83,Fatigue,0.2880,0.5617,0.0333,0.1170,0.3190
26.02,Fatigue,0.3152,0.5441,0.0349,0.1058,0.3647
26.24,Fatigue,0.3763,0.4766,0.0376,0.1094,0.3718
26.43,Focused,0.4270,0.4143,0.0447,0.1140,0.2954
26.62,Fatigue,0.3385,0.5102,0.0376,0.1136,0.3179
26.83,Focused,0.4418,0.3473,0.0531,0.1579,0.2985
27.02,Fatigue,0.3443,0.4973,0.0388,0.1196,0.3212
27.21,Fatigue,0.3456,0.5066,0.0383,0.1095,0.3416
27.40,Fatigue,0.2706,0.6274,0.0233,0.0787,0.3354
27.61,Fatigue,0.2763,0.6319,0.0217,0.0701,0.3037
27.80,Fatigue,0.3345,0.5731,0.0213,0.0711,0.3543
27.99,Fatigue,0.4180,0.4792,0.0276,0.0752,0.3271
28.20,Fatigue,0.3805,0.5300,0.0231,0.0665,0.3842
28.39,Focused,0.4443,0.4148,0.0390,0.1019,0.3008
28.59,Fatigue,0.3473,0.5326,0.0320,0.0882,0.3498
28.79,Focused,0.4318,0.4300,0.0373,0.1010,0.3683
28.98,Fatigue,0.2545,0.6741,0.0214,0.0500,0.3760
29.18,Fatigue,0.2688,0.6596,0.0244,0.0471,0.3720
29.38,Fatigue,0.3167,0.5890,0.0320,0.0622,0.3483
29.57,Focused,0.4773,0.3918,0.0427,0.0883,0.3066
29.77,Focused,0.5372,0.2868,0.0537,0.1223,0.3296
29.96,Focused,0.5091,0.3131,0.0532,0.1246,0.3878
30.17,Fatigue,0.3942,0.4431,0.0521,0.1107,0.3580
30.36,Fatigue,0.3597,0.5221,0.0416,0.0767,0.2874
30.55,Fatigue,0.3508,0.5326,0.0368,0.0798,0.3264
30.76,Focused,0.4354,0.4263,0.0343,0.1040,0.3646
30.95,Fatigue,0.3689,0.5059,0.0273,0.0979,0.3437
31.15,Fatigue,0.3377,0.5611,0.0250,0.0762,0.2817
31.35,Fatigue,0.3762,0.5098,0.0305,0.0835,0.3358
31.54,Focused,0.5166,0.3162,0.0485,0.1187,0.3545
31.74,Focused,0.5753,0.2030,0.0624,0.1593,0.3338
31.95,Fatigue,0.4025,0.4360,0.0457,0.1158,0.3639
32.14,Fatigue,0.2997,0.5631,0.0332,0.1039,0.3481
32.33,Fatigue,0.2623,0.6323,0.0247,0.0807,0.3185
32.52,Fatigue,0.4135,0.4447,0.0337,0.1081,0.3928
32.73,Focused,0.4561,0.4097,0.0329,0.1013,0.3934
32.92,Focused,0.5077,0.3396,0.0396,0.1132,0.3824
33.11,Fatigue,0.3785,0.5061,0.0300,0.0855,0.4648
33.32,Fatigue,0.2991,0.5780,0.0297,0.0932,0.3835
33.51,Fatigue,0.3152,0.5778,0.0281,0.0789,0.4320
33.71,Fatigue,0.3091,0.5851,0.0285,0.0772,0.3787
33.91,Fatigue,0.4097,0.4967,0.0280,0.0657,0.3189
34.11,Fatigue,0.2698,0.6643,0.0161,0.0499,0.3906
34.30,Fatigue,0.2847,0.6398,0.0200,0.0555,0.3615
34.50,Fatigue,0.1474,0.8011,0.0145,0.0370,0.3632
34.71,Fatigue,0.2105,0.7212,0.0184,0.0500,0.3485
34.98,Fatigue,0.1876,0.7533,0.0146,0.0444,0.3379
35.19,Fatigue,0.2012,0.7365,0.0149,0.0473,0.3638
35.39,Fatigue,0.1734,0.7578,0.0145,0.0543,0.3388
35.57,Fatigue,0.1692,0.7613,0.0146,0.0548,0.3768
35.80,Fatigue,0.1896,0.7293,0.0182,0.0630,0.3435
36.07,Fatigue,0.1340,0.8162,0.0126,0.0372,0.3771
36.26,Fatigue,0.2964,0.5814,0.0290,0.0932,0.4154
36.48,Fatigue,0.4120,0.4149,0.0408,0.1323,0.3783
36.67,Focused,0.4534,0.3575,0.0458,0.1432,0.4265
36.86,Focused,0.4516,0.3798,0.0412,0.1274,0.3890
37.06,Fatigue,0.3388,0.5441,0.0286,0.0886,0.4229
37.26,Fatigue,0.3611,0.5347,0.0227,0.0816,0.3971
37.45,Fatigue,0.2336,0.7067,0.0116,0.0482,0.3856
37.64,Fatigue,0.2392,0.6942,0.0120,0.0545,0.3277
37.85,Fatigue,0.2582,0.6280,0.0230,0.0908,0.4037
38.04,Fatigue,0.2350,0.6565,0.0216,0.0869,0.3836
38.24,Fatigue,0.2425,0.6656,0.0195,0.0725,0.4279
38.44,Fatigue,0.3195,0.5774,0.0263,0.0768,0.3698
38.63,Focused,0.4723,0.3493,0.0441,0.1343,0.4107
38.83,Focused,0.4431,0.3782,0.0442,0.1345,0.4101
39.03,Fatigue,0.3269,0.5376,0.0341,0.1014,0.3642
39.22,Fatigue,0.3434,0.5461,0.0359,0.0745,0.3762
39.42,Fatigue,0.2910,0.5893,0.0391,0.0807,0.3650
39.62,Fatigue,0.2555,0.6325,0.0345,0.0774,0.3531
39.82,Fatigue,0.0833,0.8295,0.0167,0.0705,0.3333
40.01,Fatigue,0.2466,0.6070,0.0231,0.1234,0.4592
40.20,Fatigue,0.2681,0.5172,0.0211,0.1936,0.3691
40.41,Focused,0.4334,0.2853,0.0427,0.2386,0.3864
40.61,Fatigue,0.3063,0.4528,0.0346,0.2062,0.3603
40.90,Focused,0.4565,0.3245,0.0504,0.1686,0.2723
41.10,Fatigue,0.2781,0.6030,0.0266,0.0922,0.3649
41.29,Fatigue,0.2456,0.6736,0.0238,0.0569,0.3357
41.48,Fatigue,0.0754,0.9077,0.0066,0.0103,0.3000
41.69,Fatigue,0.0677,0.9168,0.0060,0.0094,0.3013
41.88,Fatigue,0.1888,0.7522,0.0164,0.0426,0.3371
42.08,Fatigue,0.2755,0.5946,0.0241,0.1058,0.3113
42.28,Fatigue,0.3419,0.4960,0.0294,0.1327,0.3541
42.47,Fatigue,0.3836,0.4455,0.0297,0.1411,0.3402
42.67,Fatigue,0.4032,0.4113,0.0333,0.1522,0.3025
42.88,Focused,0.4159,0.3577,0.0339,0.1925,0.2971
43.17,Fatigue,0.2981,0.5169,0.0234,0.1615,0.3606
43.47,Fatigue,0.2151,0.6678,0.0133,0.1038,0.3090
43.66,Fatigue,0.1623,0.7796,0.0126,0.0456,0.3385
43.85,Fatigue,0.2101,0.6722,0.0226,0.0951,0.3507
44.05,Fatigue,0.1883,0.6928,0.0230,0.0959,0.3501
44.25,Fatigue,0.1716,0.7138,0.0192,0.0954,0.3610
44.45,Fatigue,0.1761,0.7285,0.0160,0.0794,0.2924
44.76,Fatigue,0.1828,0.7308,0.0154,0.0710,0.3209
45.04,Fatigue,0.2395,0.6587,0.0202,0.0816,0.3005
45.23,Fatigue,0.2086,0.6889,0.0194,0.0831,0.2875
45.44,Fatigue,0.3368,0.4624,0.0449,0.1558,0.2385
45.63,Fatigue,0.2851,0.5087,0.0492,0.1570,0.2531
45.82,Fatigue,0.3263,0.4523,0.0554,0.1660,0.2444
46.02,Fatigue,0.1770,0.6809,0.0353,0.1069,0.2940
46.21,Fatigue,0.1879,0.6876,0.0288,0.0957,0.2839
46.41,Fatigue,0.1803,0.6778,0.0302,0.1118,0.3106
46.60,Fatigue,0.2805,0.5213,0.0448,0.1534,0.2213
46.81,Focused,0.3788,0.3477,0.0620,0.2115,0.2670
47.00,Focused,0.4785,0.2607,0.0691,0.1917,0.3193
47.19,Focused,0.5635,0.1847,0.0688,0.1830,0.2871
47.40,Focused,0.6485,0.1082,0.0685,0.1748,0.2504
47.59,Focused,0.6275,0.1286,0.0664,0.1775,0.2820
47.79,Focused,0.5497,0.2487,0.0507,0.1509,0.3651
47.99,Focused,0.4911,0.3008,0.0497,0.1584,0.2928
48.18,Focused,0.5236,0.3055,0.0446,0.1263,0.2878
48.38,Focused,0.5953,0.1981,0.0577,0.1489,0.2760
48.58,Focused,0.6661,0.1601,0.0544,0.1195,0.3143
48.77,Focused,0.6414,0.1681,0.0551,0.1354,0.3212
48.97,Focused,0.6418,0.2009,0.0440,0.1133,0.3227
49.16,Focused,0.5673,0.3037,0.0391,0.0898,0.2661
49.37,Focused,0.5813,0.2916,0.0392,0.0880,0.2983
49.56,Focused,0.5515,0.3005,0.0471,0.1010,0.2910
49.75,Focused,0.5634,0.2288,0.0538,0.1539,0.2463
49.96,Fatigue,0.3916,0.4318,0.0418,0.1348,0.3559
50.15,Fatigue,0.3379,0.5087,0.0379,0.1156,0.3250
50.35,Fatigue,0.3514,0.5542,0.0289,0.0655,0.3463
50.55,Focused,0.5212,0.3635,0.0369,0.0783,0.3449
50.74,Focused,0.4910,0.4017,0.0361,0.0713,0.4563
50.94,Fatigue,0.3351,0.5814,0.0283,0.0551,0.3813
51.15,Fatigue,0.3104,0.6135,0.0352,0.0409,0.3439
51.34,Fatigue,0.3411,0.5791,0.0416,0.0381,0.3476
51.53,Focused,0.4525,0.4419,0.0546,0.0510,0.3748
51.72,Fatigue,0.3912,0.5186,0.0478,0.0425,0.3954
51.93,Fatigue,0.2912,0.6487,0.0346,0.0255,0.3175
52.12,Fatigue,0.3013,0.6017,0.0340,0.0630,0.4800
52.31,Fatigue,0.4001,0.4437,0.0448,0.1114,0.4660
52.52,Focused,0.5944,0.1884,0.0603,0.1569,0.2753
52.71,Focused,0.6668,0.0997,0.0702,0.1632,0.3307
57.43,Focused,0.6575,0.1086,0.0711,0.1628,0.3026
57.64,Focused,0.6618,0.0962,0.0716,0.1704,0.3979
58.02,Focused,0.6321,0.1337,0.0772,0.1570,0.2803
58.23,Focused,0.5981,0.2012,0.0748,0.1260,0.3075
58.42,Focused,0.5855,0.1909,0.0850,0.1386,0.3796
59.02,Focused,0.6692,0.0847,0.0700,0.1762,0.4401
59.99,Focused,0.6628,0.0868,0.0712,0.1791,0.4895
62.17,Focused,0.6572,0.0846,0.0750,0.1832,0.3970
62.76,Focused,0.6639,0.0832,0.0728,0.1801,0.2759
62.95,Focused,0.6030,0.1097,0.0867,0.2006,0.3000
64.33,Fatigue,0.3242,0.5104,0.0597,0.1057,0.3363
64.73,Focused,0.4168,0.2757,0.0433,0.2642,0.3151
64.92,Focused,0.3679,0.2316,0.0642,0.3362,0.2738
65.11,Boredom,0.3362,0.2410,0.0769,0.3460,0.3132
65.32,Boredom,0.2670,0.2599,0.0894,0.3837,0.2720
65.51,Boredom,0.2546,0.3211,0.0891,0.3352,0.3711
65.71,Fatigue,0.2046,0.4261,0.0689,0.3004,0.3271
65.91,Fatigue,0.1920,0.5559,0.0493,0.2027,0.3217
66.10,Fatigue,0.1303,0.6858,0.0319,0.1520,0.3085
66.30,Fatigue,0.1188,0.7380,0.0373,0.1059,0.3396
66.49,Fatigue,0.1348,0.6741,0.0499,0.1412,0.3039
66.70,Fatigue,0.1688,0.5389,0.0630,0.2292,0.2953
66.89,Fatigue,0.1860,0.5223,0.0630,0.2287,0.3626
67.08,Fatigue,0.1668,0.5351,0.0596,0.2385,0.2924
67.29,Fatigue,0.1297,0.6493,0.0567,0.1643,0.3831
67.48,Fatigue,0.1647,0.5629,0.0775,0.1948,0.2954
67.68,Fatigue,0.2239,0.4346,0.1069,0.2346,0.2408
67.88,Fatigue,0.2248,0.4553,0.1026,0.2172,0.2818
68.07,Fatigue,0.2286,0.4089,0.1100,0.2525,0.3532
68.26,Fatigue,0.1372,0.6380,0.0694,0.1554,0.3219
68.47,Fatigue,0.1432,0.6360,0.0679,0.1530,0.2583
68.67,Fatigue,0.1315,0.7398,0.0373,0.0914,0.3405
68.86,Fatigue,0.1304,0.7509,0.0346,0.0840,0.3175
69.05,Fatigue,0.1133,0.8023,0.0223,0.0620,0.3904
69.26,Fatigue,0.0549,0.9003,0.0106,0.0342,0.3332
