code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,num_assessments_submitted,avg_score,avg_days_late,num_late_submissions,avg_assessment_weight,total_clicks,num_active_days,num_active_weeks,first_active_date,last_active_date,avg_weekly_clicks,engagement_span_days,date_registration,at_risk
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,5.0,82.0,-1.8,0.0,20.0,934.0,40.0,27.0,-5.0,253.0,34.592592592592595,258.0,-159.0,0
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,5.0,66.4,0.0,2.0,20.0,1435.0,80.0,34.0,-10.0,239.0,42.205882352941174,249.0,-53.0,0
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,0.0,,,0.0,,281.0,12.0,4.0,-10.0,12.0,70.25,22.0,-92.0,1
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,5.0,76.0,-2.0,0.0,20.0,2158.0,123.0,38.0,-10.0,264.0,56.78947368421053,274.0,-52.0,0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,5.0,54.4,11.4,5.0,20.0,1034.0,70.0,31.0,-10.0,247.0,33.354838709677416,257.0,-176.0,0
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,5.0,68.0,2.0,1.0,20.0,2445.0,143.0,41.0,-10.0,267.0,59.63414634146341,277.0,-110.0,0
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,5.0,68.0,0.4,2.0,20.0,1492.0,90.0,34.0,-10.0,267.0,43.88235294117647,277.0,-67.0,0
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,5.0,72.4,2.6,2.0,20.0,1428.0,105.0,37.0,-9.0,264.0,38.5945945945946,273.0,-29.0,0
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,5.0,71.4,1.4,1.0,20.0,1894.0,122.0,36.0,-4.0,245.0,52.611111111111114,249.0,-33.0,0
AAA,2013J,53025,M,North Region,Post Graduate Qualification,Unknown,55<=,0,60,N,5.0,78.0,-4.6,0.0,20.0,3158.0,142.0,37.0,-7.0,257.0,85.35135135135135,264.0,-179.0,0
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,5.0,74.0,-0.8,0.0,20.0,1319.0,90.0,33.0,-10.0,243.0,39.96969696969697,253.0,-103.0,0
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,5.0,73.2,0.4,1.0,20.0,1732.0,120.0,37.0,-10.0,256.0,46.810810810810814,266.0,-47.0,0
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,5.0,78.6,-0.4,0.0,20.0,1102.0,61.0,26.0,-10.0,245.0,42.38461538461539,255.0,-59.0,0
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,5.0,76.0,-2.6,0.0,20.0,3388.0,148.0,39.0,-10.0,265.0,86.87179487179488,275.0,-68.0,0
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,5.0,71.6,0.0,0.0,20.0,2737.0,175.0,41.0,-10.0,268.0,66.7560975609756,278.0,-67.0,0
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,2.0,67.0,-2.5,0.0,15.0,171.0,11.0,8.0,-10.0,96.0,21.375,106.0,-180.0,1
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,5.0,55.6,-4.6,0.0,20.0,1053.0,46.0,28.0,-10.0,248.0,37.607142857142854,258.0,-95.0,0
AAA,2013J,71361,M,Ireland,HE Qualification,Unknown,35-55,0,60,N,5.0,80.4,-0.4,0.0,20.0,2327.0,135.0,37.0,-10.0,243.0,62.891891891891895,253.0,-130.0,0
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,4.0,48.5,1.5,2.0,17.5,116.0,14.0,9.0,-5.0,213.0,12.88888888888889,218.0,-50.0,1
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,5.0,66.0,-0.6,1.0,20.0,2992.0,122.0,37.0,-10.0,254.0,80.86486486486487,264.0,-107.0,0
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,5.0,70.4,0.8,1.0,20.0,680.0,86.0,31.0,-10.0,250.0,21.93548387096774,260.0,-27.0,0
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,5.0,70.8,5.2,5.0,20.0,1494.0,125.0,38.0,-8.0,259.0,39.31578947368421,267.0,-31.0,0
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,1.0,74.0,-2.0,0.0,10.0,339.0,24.0,9.0,-10.0,55.0,37.666666666666664,65.0,-170.0,1
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,5.0,60.6,-7.8,0.0,20.0,2839.0,91.0,33.0,-10.0,264.0,86.03030303030303,274.0,-107.0,0
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,5.0,68.4,0.2,2.0,20.0,744.0,52.0,26.0,-9.0,250.0,28.615384615384617,259.0,-62.0,0
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,5.0,72.6,-1.8,0.0,20.0,4104.0,144.0,39.0,-10.0,268.0,105.23076923076923,278.0,-103.0,0
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,5.0,78.0,0.0,0.0,20.0,1944.0,177.0,39.0,-10.0,267.0,49.84615384615385,277.0,-107.0,0
