Gender,Age,Department,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,at_risk
Female,22,Mathematics,97.36,40.61,73.69,53.17,73.4,62.84,10.3,Yes,No,Master's,Medium,1,5.9,1
Male,18,Business,97.71,57.27,74.23,98.23,88.0,98.23,27.1,No,No,High School,Low,4,4.3,0
Male,24,Engineering,99.52,41.84,85.85,50.0,4.699999999999999,91.22,12.4,Yes,No,High School,Low,9,6.1,1
Female,24,Engineering,90.38,45.65,68.1,66.27,4.2,55.48,25.5,No,Yes,High School,Low,8,4.9,1
Female,23,CS,59.41,53.13,67.66,83.98,64.3,87.43,13.3,Yes,No,Master's,Medium,6,4.5,0
Male,21,Mathematics,60.6,70.21,87.85,52.26,54.8,67.65,25.3,Yes,No,Unknown,Medium,6,5.6,1
Male,24,Business,67.01,90.85,89.0,54.17,15.5,87.51,22.1,Yes,No,Bachelor's,High,2,4.0,0
Male,19,Engineering,65.91,91.72,50.72,53.83,54.8,90.04,16.7,Yes,Yes,Unknown,Low,5,7.8,0
Female,21,CS,97.83,76.97,57.19,79.08,97.4,57.57,18.1,No,Yes,PhD,High,9,4.8,1
Female,22,Business,89.45,95.69,60.65,94.8,63.1,83.09,9.4,Yes,No,Unknown,High,8,7.1,0
Female,23,Business,86.2,70.0,67.58,77.77,44.900000000000006,93.14,7.9,Yes,Yes,High School,Low,4,8.2,0
Female,20,Mathematics,59.3,93.34,64.57,80.18,82.8,66.17,22.9,Yes,No,Unknown,Low,7,8.6,0
Male,21,Engineering,95.48,67.24,83.43,67.3,21.3,54.02,26.2,No,No,Unknown,Medium,9,6.8,0
Male,18,Business,91.39,56.63,91.41,50.94,41.4,51.36,23.0,No,No,PhD,Medium,5,7.9,1
Male,19,CS,58.18,94.98,59.6,51.08,52.8,55.5,27.8,No,Yes,Bachelor's,High,2,6.3,1
Male,18,CS,93.56,63.28,78.15,94.42,50.5,50.21,27.3,Yes,No,Bachelor's,Low,2,6.5,0
Female,21,Business,63.61,70.2,68.39,55.13,92.1,66.35,24.5,No,Yes,High School,High,8,6.7,1
