date,weight,num_of_prev_attempts,studied_credits,module_presentation_length,date_registration,prior_avg_score,avg_weekly_clicks,clicks_trend,active_weeks_ratio,has_vle_activity,assessment_type_enc,code_module_enc,Priority_Label
19,10.0,0,60,269,-52.0,68.5986798679868,71.56410256410257,-71.39473684210526,1.0,1,2,0,Medium
54,20.0,0,60,269,-52.0,60.0,71.56410256410257,-71.39473684210526,1.0,1,2,0,High
117,20.0,0,60,269,-52.0,54.0,71.56410256410257,-71.39473684210526,1.0,1,2,0,Medium
166,20.0,0,60,269,-52.0,57.0,71.56410256410257,-71.39473684210526,1.0,1,2,0,Medium
215,30.0,0,60,269,-52.0,58.0,71.56410256410257,-71.39473684210526,1.0,1,2,0,Medium
25,10.0,0,90,261,-137.0,69.59447527749748,38.0,-27.625,1.0,1,2,3,High
53,12.5,0,90,261,-137.0,93.0,38.0,-27.625,1.0,1,2,3,Low
88,17.5,0,90,261,-137.0,88.0,38.0,-27.625,1.0,1,2,3,Medium
20,5.0,1,60,262,-38.0,72.63423627854205,10.0,0.0,1.0,1,2,3,Low
41,10.0,1,60,262,-38.0,93.0,10.0,0.0,1.0,1,2,3,Low
62,10.0,1,60,262,-38.0,88.0,10.0,0.0,1.0,1,2,3,Low
111,25.0,1,60,262,-38.0,86.33333333333333,10.0,0.0,1.0,1,2,3,Medium
19,10.0,0,240,268,-159.0,69.4316370324954,34.592592592592595,-34.88461538461539,1.0,1,2,0,Low
54,20.0,0,240,268,-159.0,78.0,34.592592592592595,-34.88461538461539,1.0,1,2,0,Medium
117,20.0,0,240,268,-159.0,81.5,34.592592592592595,-34.88461538461539,1.0,1,2,0,Medium
166,20.0,0,240,268,-159.0,81.0,34.592592592592595,-34.88461538461539,1.0,1,2,0,Medium
215,30.0,0,240,268,-159.0,82.0,34.592592592592595,-34.88461538461539,1.0,1,2,0,Medium
19,5.0,2,60,240,-47.0,79.09537366548042,14.636363636363637,16.9,1.0,1,2,1,Medium
