id_student,code_module,code_presentation,avg_weekly_clicks,clicks_trend,active_weeks_ratio,has_vle_activity,prior_avg_score,num_of_prev_attempts,studied_credits,cluster,cluster_label
6516,AAA,2014J,71.56410256410257,-71.39473684210526,1.0,1,59.519735973597356,0,60,5,Struggling Low-Engagement Studier
8462,DDD,2013J,38.0,-27.625,1.0,1,83.53149175916583,0,90,0,High-Performing Low-Engagement Light-Workload Studier
8462,DDD,2014J,10.0,0.0,1.0,1,84.99189240296884,1,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
11391,AAA,2013J,34.592592592592595,-34.88461538461539,1.0,1,78.38632740649908,0,240,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
23629,BBB,2013B,14.636363636363637,16.9,1.0,1,71.94051008303677,2,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
23698,CCC,2014J,33.7037037037037,-31.884615384615387,1.0,1,80.35542435836842,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
23798,BBB,2013J,17.352941176470587,-15.818181818181817,1.0,1,91.36976585505997,0,60,0,High-Performing Low-Engagement Light-Workload Studier
24186,GGG,2014B,10.22222222222222,-9.764705882352942,1.0,1,64.05287830147381,0,30,5,Struggling Low-Engagement Studier
24213,DDD,2014B,56.91428571428571,-34.911764705882355,1.0,1,79.94885445239672,1,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
24391,GGG,2013J,22.967741935483872,-22.7,1.0,1,83.00026014776394,0,30,0,High-Performing Low-Engagement Light-Workload Studier
24734,AAA,2014J,15.12121212121212,-13.53125,1.0,1,47.85306930693069,0,60,5,Struggling Low-Engagement Studier
25107,BBB,2013B,75.3529411764706,-75.57575757575758,1.0,1,72.12338894794411,0,120,2,Average-Performing Moderately-Engaged Heavy-Workload Studier
25150,EEE,2014B,58.41666666666666,-23.057142857142857,1.0,1,88.76977877765279,0,60,0,High-Performing Low-Engagement Light-Workload Studier
25261,CCC,2014J,83.08333333333333,-88.45454545454545,1.0,1,75.5410139145665,0,60,0,High-Performing Low-Engagement Light-Workload Studier
25572,DDD,2014J,8.071428571428571,-7.615384615384615,1.0,1,76.31711813927103,2,150,3,Average-Performing Low-Engagement Repeat-Attempter Studier
25997,BBB,2014B,13.0,0.0,1.0,1,75.98346030473135,2,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
26023,GGG,2013J,23.818181818181817,-21.46875,1.0,1,74.91507496257874,0,30,0,High-Performing Low-Engagement Light-Workload Studier
26192,AAA,2014J,63.51428571428571,-64.3529411764706,1.0,1,82.26973597359736,0,60,0,High-Performing Low-Engagement Light-Workload Studier
26211,FFF,2014B,400.1315789473685,-406.8378378378378,1.0,1,83.93546603739902,0,90,1,High-Performing Engaged Fading-Effort Studier
26247,FFF,2013J,95.6,23.0,1.0,1,77.1392654670939,2,60,3,Average-Performing Low-Engagement Repeat-Attempter Studier
